variant_id,lemma,type,en_US,en_GB,en_AU,en_CA,notes,source
spelling_only-00001,accessorize,spelling_only,accessorize,accessorise,,,,breame_spellings;uk2us
spelling_only-00002,accessorized,spelling_only,accessorized,accessorised,,,,breame_spellings;uk2us
spelling_only-00003,accessorizes,spelling_only,accessorizes,accessorises,,,,breame_spellings;uk2us
spelling_only-00004,accessorizing,spelling_only,accessorizing,accessorising,,,,breame_spellings;uk2us
spelling_only-00005,acclimatization,spelling_only,acclimatization,acclimatisation,,,,breame_spellings;uk2us
spelling_only-00006,acclimatize,spelling_only,acclimatize,acclimatise,,,,breame_spellings;uk2us
spelling_only-00007,acclimatized,spelling_only,acclimatized,acclimatised,,,,breame_spellings;uk2us
spelling_only-00008,acclimatizes,spelling_only,acclimatizes,acclimatises,,,,breame_spellings;uk2us
spelling_only-00009,acclimatizing,spelling_only,acclimatizing,acclimatising,,,,breame_spellings;uk2us
spelling_only-00010,accouterments,spelling_only,accouterments,accoutrements,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00013,aerogram,spelling_only,aerogram,aerogramme,,,,breame_spellings;uk2us
spelling_only-00014,aerograms,spelling_only,aerograms,aerogrammes,,,,breame_spellings;uk2us
spelling_only-00024,aggrandizement,spelling_only,aggrandizement,aggrandisement,,,,breame_spellings;uk2us
spelling_only-00023,aging,spelling_only,aging,ageing,,,,breame_spellings;uk2us
spelling_only-00025,agonize,spelling_only,agonize,agonise,,,,breame_spellings;uk2us
spelling_only-00026,agonized,spelling_only,agonized,agonised,,,,breame_spellings;uk2us
spelling_only-00027,agonizes,spelling_only,agonizes,agonises,,,,breame_spellings;uk2us
spelling_only-00028,agonizing,spelling_only,agonizing,agonising,,,,breame_spellings;uk2us
spelling_only-00029,agonizingly,spelling_only,agonizingly,agonisingly,,,,breame_spellings;uk2us
spelling_only-00015,airplane,spelling_only,airplane,aeroplane,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00016,airplanes,spelling_only,airplanes,aeroplanes,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00030,almanac,spelling_only,almanac,almanack,,,,breame_spellings;uk2us
spelling_only-00031,almanacs,spelling_only,almanacs,almanacks,,,,breame_spellings;uk2us
spelling_only-00032,aluminum,spelling_only,aluminum,aluminium,,,,breame_spellings;uk2us
spelling_only-00033,amortizable,spelling_only,amortizable,amortisable,,,,breame_spellings;uk2us
spelling_only-00034,amortization,spelling_only,amortization,amortisation,,,,breame_spellings;uk2us
spelling_only-00035,amortizations,spelling_only,amortizations,amortisations,,,,breame_spellings;uk2us
spelling_only-00036,amortize,spelling_only,amortize,amortise,,,,breame_spellings;uk2us
spelling_only-00037,amortized,spelling_only,amortized,amortised,,,,breame_spellings;uk2us
spelling_only-00038,amortizes,spelling_only,amortizes,amortises,,,,breame_spellings;uk2us
spelling_only-00039,amortizing,spelling_only,amortizing,amortising,,,,breame_spellings;uk2us
spelling_only-00040,amphitheater,spelling_only,amphitheater,amphitheatre,,,,breame_spellings;uk2us
spelling_only-00041,amphitheaters,spelling_only,amphitheaters,amphitheatres,,,,breame_spellings;uk2us
spelling_only-00057,analog,spelling_only,analog,analogue,,,,breame_spellings;uk2us
spelling_only-00058,analogs,spelling_only,analogs,analogues,,,,breame_spellings;uk2us
spelling_only-00059,analyze,spelling_only,analyze,analyse,,,,breame_spellings;uk2us
spelling_only-00060,analyzed,spelling_only,analyzed,analysed,,,,breame_spellings;uk2us
spelling_only-00061,analyzes,spelling_only,analyzes,analyses,,,,breame_spellings;uk2us
spelling_only-00062,analyzing,spelling_only,analyzing,analysing,,,,breame_spellings;uk2us
spelling_only-00042,anemia,spelling_only,anemia,anaemia,,,,breame_spellings;uk2us
spelling_only-00043,anemic,spelling_only,anemic,anaemic,,,,breame_spellings;uk2us
spelling_only-00044,anesthesia,spelling_only,anesthesia,anaesthesia,,,,breame_spellings;uk2us
spelling_only-00045,anesthetic,spelling_only,anesthetic,anaesthetic,,,,breame_spellings;uk2us
spelling_only-00046,anesthetics,spelling_only,anesthetics,anaesthetics,,,,breame_spellings;uk2us
spelling_only-00051,anesthetist,spelling_only,anesthetist,anaesthetist,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00052,anesthetists,spelling_only,anesthetists,anaesthetists,,,,breame_spellings;scowl_varcon;uk2us
spelling_only-00047,anesthetize,spelling_only,anesthetize,anaesthetise,,,,uk2us
